,position_detail_symbol,position_detail_report_date,position_detail_position_symbol,position_detail_name,position_detail_value,position_detail_amount,position_detail_value_percent,position_detail_net_value_percent,position_detail_stat_date,position_detail_type,position_detail_investment_type
43,260108.OF,2007-08-28,600675.SH,中华企业,68126411.82,2999842.0,0.014294,1.27,2007-06-30,股票,0.0
44,260108.OF,2007-08-28,600607.SH,上实医药,51771401.12,3085304.0,0.010863,0.97,2007-06-30,股票,0.0
45,260108.OF,2007-08-28,600583.SH,海油工程,253400000.0,7000000.0,0.053169,4.74,2007-06-30,股票,0.0
46,260108.OF,2007-08-28,600276.SH,恒瑞医药,67860000.0,1500000.0,0.014238,1.27,2007-06-30,股票,0.0
47,260108.OF,2007-08-28,600054.SH,黄山旅游,95100000.0,5000000.0,0.019954,1.78,2007-06-30,股票,0.0
48,260108.OF,2007-08-28,600022.SH,山东钢铁,110208000.0,8400000.0,0.023124,2.06,2007-06-30,股票,0.0
49,260108.OF,2007-08-28,002032.SZ,苏泊尔,162900000.0,4500000.0,0.03418,3.05,2007-06-30,股票,0.0
50,260108.OF,2007-08-28,000963.SZ,华东医药,93384834.62,7005614.0,0.019594,1.75,2007-06-30,股票,0.0
51,260108.OF,2007-08-28,000829.SZ,天音控股,184250000.0,5500000.0,0.03866,3.45,2007-06-30,股票,0.0
52,260108.OF,2007-08-28,000825.SZ,太钢不锈,320960000.0,16000000.0,0.067344,6.0,2007-06-30,股票,0.0
53,260108.OF,2007-08-28,000709.SZ,河钢股份,38338875.36,2999912.0,0.008044,0.72,2007-06-30,股票,0.0
54,260108.OF,2007-08-28,000522.SZ,白云山A,49980000.0,6000000.0,0.010487,0.93,2007-06-30,股票,0.0
55,260108.OF,2007-08-28,000157.SZ,中联重科,192648648.5,5003861.0,0.040422,3.6,2007-06-30,股票,0.0
56,260108.OF,2007-08-28,000060.SZ,中金岭南,58600000.0,2000000.0,0.012296,1.1,2007-06-30,股票,0.0
57,260108.OF,2007-08-28,600718.SH,东软集团,145845000.0,3500000.0,0.030601,2.73,2007-06-30,股票,0.0
58,260108.OF,2007-08-28,600308.SH,华泰股份,184913898.38,7519882.0,0.038799,3.46,2007-06-30,股票,0.0
59,260108.OF,2007-08-28,600100.SH,同方股份,101526010.6,2959942.0,0.021302,1.9,2007-06-30,股票,0.0
60,260108.OF,2007-08-28,600036.SH,招商银行,368700000.0,15000000.0,0.077361,6.89,2007-06-30,股票,0.0
61,260108.OF,2007-08-28,031004.SZ,深发SFC2,4976100.0,300000.0,0.352413,0.09,2007-06-30,权证,0.0
62,260108.OF,2007-08-28,031003.SZ,深发SFC1,9144000.0,600000.0,0.647587,0.17,2007-06-30,权证,0.0
63,260108.OF,2007-08-28,000338.SZ,潍柴动力,48133845.0,613170.0,0.0101,0.9,2007-06-30,股票,0.0
64,260108.OF,2008-01-22,0701015.IB,07央行票据15,388840000.0,4000000.0,1.0,3.87,2007-12-31,债券,0.0
65,260108.OF,2008-03-27,600675.SH,中华企业,107500000.0,5000000.0,0.013202,1.07,2007-12-31,股票,0.0
66,260108.OF,2008-03-27,600665.SH,天地源,114200000.0,10000000.0,0.014025,1.14,2007-12-31,股票,0.0
67,260108.OF,2008-03-27,600583.SH,海油工程,368101440.0,7068000.0,0.045208,3.66,2007-12-31,股票,0.0
68,260108.OF,2008-03-27,600030.SH,中信证券,535620000.0,6000000.0,0.065781,5.33,2007-12-31,股票,0.0
69,260108.OF,2008-03-27,600009.SH,上海机场,300524769.44,8009722.0,0.036909,2.99,2007-12-31,股票,0.0
70,260108.OF,2008-03-27,600000.SH,浦发银行,105605068.8,2000096.0,0.01297,1.05,2007-12-31,股票,0.0
71,260108.OF,2008-03-27,000002.SZ,万科A,346080000.0,12000000.0,0.042503,3.45,2007-12-31,股票,0.0
72,260108.OF,2008-03-27,601939.SH,建设银行,246250000.0,25000000.0,0.030243,2.45,2007-12-31,股票,0.0
73,260108.OF,2008-03-27,600808.SH,马钢股份,200800000.0,20000000.0,0.024661,2.0,2007-12-31,股票,0.0
74,260108.OF,2008-03-27,600519.SH,贵州茅台,920000000.0,4000000.0,0.112989,9.16,2007-12-31,股票,0.0
75,260108.OF,2008-03-27,600276.SH,恒瑞医药,85560000.0,1500000.0,0.010508,0.85,2007-12-31,股票,0.0
76,260108.OF,2008-03-27,600048.SH,保利地产,259280000.0,4000000.0,0.031843,2.58,2007-12-31,股票,0.0
77,260108.OF,2008-03-27,600037.SH,歌华有线,251520000.0,8000000.0,0.03089,2.5,2007-12-31,股票,0.0
78,260108.OF,2008-03-27,600022.SH,山东钢铁,213150000.0,10500000.0,0.026178,2.12,2007-12-31,股票,0.0
79,260108.OF,2008-03-27,600019.SH,宝钢股份,348800000.0,20000000.0,0.042837,3.47,2007-12-31,股票,0.0
80,260108.OF,2008-03-27,002202.SZ,金风科技,27738875.0,197500.0,0.003407,0.28,2007-12-31,股票,0.0
81,260108.OF,2008-03-27,000882.SZ,华联股份,97482000.0,6600000.0,0.011972,0.97,2007-12-31,股票,0.0
82,260108.OF,2008-03-27,000825.SZ,太钢不锈,371550000.0,15000000.0,0.045631,3.7,2007-12-31,股票,0.0
83,260108.OF,2008-03-27,000709.SZ,河钢股份,424660000.0,17000000.0,0.052154,4.23,2007-12-31,股票,0.0
84,260108.OF,2008-03-27,000157.SZ,中联重科,287471814.45,5003861.0,0.035305,2.86,2007-12-31,股票,0.0
85,260108.OF,2008-03-27,601628.SH,中国人寿,289700000.0,5000000.0,0.035579,2.88,2007-12-31,股票,0.0
86,260108.OF,2008-03-27,601328.SH,交通银行,157589555.2,10088960.0,0.019354,1.57,2007-12-31,股票,0.0
87,260108.OF,2008-03-27,601318.SH,中国平安,212200000.0,2000000.0,0.026061,2.11,2007-12-31,股票,0.0
88,260108.OF,2008-03-27,600900.SH,长江电力,204749875.69,10505381.0,0.025146,2.04,2007-12-31,股票,0.0
89,260108.OF,2008-03-27,600118.SH,中国卫星,41547954.95,1080571.0,0.005103,0.41,2007-12-31,股票,0.0
90,260108.OF,2008-03-27,600036.SH,招商银行,673710000.0,17000000.0,0.082741,6.71,2007-12-31,股票,0.0
91,260108.OF,2008-03-27,000968.SZ,蓝焰控股,500100000.0,15000000.0,0.061419,4.98,2007-12-31,股票,0.0
92,260108.OF,2008-03-27,000839.SZ,中信国安,172500000.0,5000000.0,0.021185,1.72,2007-12-31,股票,0.0
93,260108.OF,2008-03-27,000731.SZ,四川美丰,8224588.59,354661.0,0.00101,0.08,2007-12-31,股票,0.0
94,260108.OF,2008-03-27,000001.SZ,平安银行,270200000.0,7000000.0,0.033184,2.69,2007-12-31,股票,0.0
95,260108.OF,2008-08-26,601006.SH,大秦铁路,108997413.47,8008627.0,0.028777,1.89,2008-06-30,股票,0.0
96,260108.OF,2008-08-26,600718.SH,东软集团,31721741.46,1128486.0,0.008375,0.55,2008-06-30,股票,0.0
97,260108.OF,2008-08-26,600529.SH,山东药玻,45126900.0,6016920.0,0.011914,0.78,2008-06-30,股票,0.0
98,260108.OF,2008-08-26,600521.SH,华海药业,15498162.3,895330.0,0.004092,0.27,2008-06-30,股票,0.0
99,260108.OF,2008-08-26,600519.SH,贵州茅台,429598000.0,3100000.0,0.113421,7.46,2008-06-30,股票,0.0
100,260108.OF,2008-08-26,600037.SH,歌华有线,65700000.0,5000000.0,0.017346,1.14,2008-06-30,股票,0.0
101,260108.OF,2008-08-26,600009.SH,上海机场,61111236.2,3862910.0,0.016134,1.06,2008-06-30,股票,0.0
102,260108.OF,2008-08-26,600005.SH,武钢股份,48809681.92,5000992.0,0.012887,0.85,2008-06-30,股票,0.0
103,260108.OF,2008-08-26,600004.SH,白云机场,45859390.98,4465374.0,0.012108,0.8,2008-06-30,股票,0.0
104,260108.OF,2008-08-26,0801017.IB,08央行票据17,199900000.0,2000000.0,0.372798,3.47,2008-06-30,债券,0.0
105,260108.OF,2008-08-26,002256.SZ,*ST兆新,253270.0,19000.0,6.7e-05,0.0,2008-06-30,股票,0.0
106,260108.OF,2008-08-26,002255.SZ,*ST海陆,176760.0,9000.0,4.7e-05,0.0,2008-06-30,股票,0.0
107,260108.OF,2008-08-26,002254.SZ,泰和新材,561905.0,20500.0,0.000148,0.01,2008-06-30,股票,0.0
108,260108.OF,2008-08-26,002242.SZ,九阳股份,2143320.0,53000.0,0.000566,0.04,2008-06-30,股票,0.0
109,260108.OF,2008-08-26,002122.SZ,*ST天马,12584112.0,262169.0,0.003322,0.22,2008-06-30,股票,0.0
110,260108.OF,2008-08-26,002078.SZ,太阳纸业,40378843.7,2500238.0,0.010661,0.7,2008-06-30,股票,0.0
111,260108.OF,2008-08-26,000878.SZ,云南铜业,45003960.0,2517000.0,0.011882,0.78,2008-06-30,股票,0.0
112,260108.OF,2008-08-26,000825.SZ,太钢不锈,173872812.54,16054738.0,0.045905,3.02,2008-06-30,股票,0.0
113,260108.OF,2008-08-26,000709.SZ,河钢股份,74550000.0,7000000.0,0.019682,1.3,2008-06-30,股票,0.0
114,260108.OF,2008-08-26,000680.SZ,山推股份,65480984.31,5883287.0,0.017288,1.14,2008-06-30,股票,0.0
115,260108.OF,2008-08-26,601088.SH,中国神华,142764271.78,3799954.0,0.037692,2.48,2008-06-30,股票,0.0
116,260108.OF,2008-08-26,600616.SH,金枫酒业,26158953.6,1999920.0,0.006906,0.45,2008-06-30,股票,0.0
117,260108.OF,2008-08-26,600583.SH,海油工程,354194009.52,16254888.0,0.093513,6.15,2008-06-30,股票,0.0
118,260108.OF,2008-08-26,600426.SH,华鲁恒升,35291780.07,1591871.0,0.009318,0.61,2008-06-30,股票,0.0
119,260108.OF,2008-08-26,600299.SH,安迪苏,24908101.68,1560658.0,0.006576,0.43,2008-06-30,股票,0.0
120,260108.OF,2008-08-26,600276.SH,恒瑞医药,79951572.4,2290876.0,0.021109,1.39,2008-06-30,股票,0.0
121,260108.OF,2008-08-26,600036.SH,招商银行,374720000.0,16000000.0,0.098933,6.51,2008-06-30,股票,0.0
122,260108.OF,2008-08-26,600030.SH,中信证券,119600000.0,5000000.0,0.031576,2.08,2008-06-30,股票,0.0
123,260108.OF,2008-08-26,600022.SH,山东钢铁,78695281.99,7662637.0,0.020777,1.37,2008-06-30,股票,0.0
124,260108.OF,2008-08-26,0801016.IB,08央行票据16,336315000.0,3500000.0,0.627202,5.84,2008-06-30,债券,0.0
125,260108.OF,2008-08-26,002258.SZ,利尔化学,449680.0,28000.0,0.000119,0.01,2008-06-30,股票,0.0
126,260108.OF,2008-08-26,002257.SZ,立立电子,577965.0,26500.0,0.000153,0.01,2008-06-30,股票,0.0
127,260108.OF,2008-08-26,002032.SZ,苏泊尔,21592645.88,1530308.0,0.005701,0.38,2008-06-30,股票,0.0
128,260108.OF,2008-08-26,000983.SZ,山西焦煤,12301000.0,246020.0,0.003248,0.21,2008-06-30,股票,0.0
