,position_detail_symbol,position_detail_report_date,position_detail_position_symbol,position_detail_name,position_detail_value,position_detail_amount,position_detail_value_percent,position_detail_net_value_percent,position_detail_stat_date,position_detail_type,position_detail_investment_type
218,260108.OF,2009-08-29,000968.SZ,蓝焰控股,124880000.0,7000000.0,0.025712,2.34,2009-06-30,股票,0.0
219,260108.OF,2009-08-29,000926.SZ,福星股份,1407979.0,136300.0,0.00029,0.03,2009-06-30,股票,0.0
220,260108.OF,2009-08-29,000422.SZ,ST宜化,86526401.95,7556891.0,0.017815,1.62,2009-06-30,股票,0.0
221,260108.OF,2009-08-29,000001.SZ,平安银行,127045378.96,5822428.0,0.026158,2.38,2009-06-30,股票,0.0
222,260108.OF,2009-08-29,601857.SH,中国石油,169415362.88,11699956.0,0.034882,3.18,2009-06-30,股票,0.0
223,260108.OF,2009-08-29,601766.SH,中国中车,52900000.0,10000000.0,0.010892,0.99,2009-06-30,股票,0.0
224,260108.OF,2009-08-29,601390.SH,中国中铁,108640000.0,16000000.0,0.022368,2.04,2009-06-30,股票,0.0
225,260108.OF,2009-08-29,600859.SH,王府井,16691688.0,629400.0,0.003437,0.31,2009-06-30,股票,0.0
226,260108.OF,2009-08-29,600837.SH,海通证券,164499687.45,9999981.0,0.03387,3.08,2009-06-30,股票,0.0
227,260108.OF,2009-08-29,600426.SH,华鲁恒升,54054000.0,3300000.0,0.011129,1.01,2009-06-30,股票,0.0
228,260108.OF,2009-08-29,600195.SH,中牧股份,53430000.0,2600000.0,0.011001,1.0,2009-06-30,股票,0.0
229,260108.OF,2009-08-29,600178.SH,东安动力,36260000.0,3500000.0,0.007466,0.68,2009-06-30,股票,0.0
230,260108.OF,2009-08-29,600068.SH,葛洲坝,60101821.44,4942584.0,0.012375,1.13,2009-06-30,股票,0.0
231,260108.OF,2009-08-29,600048.SH,保利地产,78863660.52,2827668.0,0.016238,1.48,2009-06-30,股票,0.0
232,260108.OF,2009-08-29,000882.SZ,华联股份,66560000.0,8000000.0,0.013704,1.25,2009-06-30,股票,0.0
233,260108.OF,2009-08-29,000568.SZ,泸州老窖,86311318.1,3007363.0,0.017771,1.62,2009-06-30,股票,0.0
234,260108.OF,2009-08-29,000425.SZ,徐工机械,13189493.52,399924.0,0.002716,0.25,2009-06-30,股票,0.0
235,260108.OF,2009-08-29,000069.SZ,华侨城A,128600855.9,6153151.0,0.026478,2.41,2009-06-30,股票,0.0
236,260108.OF,2009-08-29,000061.SZ,农产品,135422000.0,11900000.0,0.027883,2.54,2009-06-30,股票,0.0
237,260108.OF,2009-08-29,000059.SZ,华锦股份,42200000.0,5000000.0,0.008689,0.79,2009-06-30,股票,0.0
238,260108.OF,2009-08-29,000024.SZ,招商地产,127252285.5,4007946.0,0.026201,2.39,2009-06-30,股票,0.0
239,260108.OF,2009-08-29,000002.SZ,万科A,140250000.0,11000000.0,0.028877,2.63,2009-06-30,股票,0.0
240,260108.OF,2010-03-30,601601.SH,中国太保,72378088.44,2825062.0,0.020434,1.71,2009-12-31,股票,0.0
241,260108.OF,2010-03-30,601117.SH,中国化学,76020.0,14000.0,2.1e-05,0.0,2009-12-31,股票,0.0
242,260108.OF,2010-03-30,600739.SH,辽宁成大,55234727.99,1450111.0,0.015594,1.3,2009-12-31,股票,0.0
243,260108.OF,2010-03-30,600596.SH,新安股份,30877795.0,684500.0,0.008717,0.73,2009-12-31,股票,0.0
244,260108.OF,2010-03-30,600585.SH,海螺水泥,55443522.24,1111984.0,0.015653,1.31,2009-12-31,股票,0.0
245,260108.OF,2010-03-30,600551.SH,时代出版,37767073.24,2009956.0,0.010662,0.89,2009-12-31,股票,0.0
246,260108.OF,2010-03-30,600528.SH,中铁工业,78360000.0,6000000.0,0.022123,1.85,2009-12-31,股票,0.0
247,260108.OF,2010-03-30,600123.SH,兰花科创,43740000.0,1000000.0,0.012349,1.03,2009-12-31,股票,0.0
248,260108.OF,2010-03-30,600104.SH,上汽集团,26130000.0,1000000.0,0.007377,0.62,2009-12-31,股票,0.0
249,260108.OF,2010-03-30,600068.SH,葛洲坝,46904522.1,4005510.0,0.013242,1.11,2009-12-31,股票,0.0
250,260108.OF,2010-03-30,600030.SH,中信证券,200151000.0,6300000.0,0.056507,4.73,2009-12-31,股票,0.0
251,260108.OF,2010-03-30,600026.SH,中远海能,28699569.5,1999970.0,0.008103,0.68,2009-12-31,股票,0.0
252,260108.OF,2010-03-30,002154.SZ,报喜鸟,18018356.16,798686.0,0.005087,0.43,2009-12-31,股票,0.0
253,260108.OF,2010-03-30,000951.SZ,中国重汽,45515252.52,1662354.0,0.01285,1.07,2009-12-31,股票,0.0
254,260108.OF,2010-03-30,000709.SZ,河钢股份,32968500.0,4650000.0,0.009308,0.78,2009-12-31,股票,0.0
255,260108.OF,2010-03-30,000417.SZ,合肥百货,31338068.67,2136201.0,0.008847,0.74,2009-12-31,股票,0.0
256,260108.OF,2010-03-30,000063.SZ,中兴通讯,79004538.41,1760743.0,0.022305,1.87,2009-12-31,股票,0.0
257,260108.OF,2010-03-30,000001.SZ,平安银行,158951570.36,6522428.0,0.044875,3.75,2009-12-31,股票,0.0
258,260108.OF,2010-03-30,601318.SH,中国平安,166922755.09,3030001.0,0.047126,3.94,2009-12-31,股票,0.0
259,260108.OF,2010-03-30,601166.SH,兴业银行,156695007.19,3887249.0,0.044238,3.7,2009-12-31,股票,0.0
260,260108.OF,2010-03-30,600694.SH,大商股份,123121584.23,2811637.0,0.03476,2.91,2009-12-31,股票,0.0
261,260108.OF,2010-03-30,600690.SH,海尔智家,99320292.14,4006466.0,0.02804,2.35,2009-12-31,股票,0.0
262,260108.OF,2010-03-30,600675.SH,中华企业,66476309.24,4509926.0,0.018768,1.57,2009-12-31,股票,0.0
263,260108.OF,2010-03-30,600519.SH,贵州茅台,169820000.0,1000000.0,0.047944,4.01,2009-12-31,股票,0.0
264,260108.OF,2010-03-30,600502.SH,安徽建工,25620000.0,2000000.0,0.007233,0.6,2009-12-31,股票,0.0
265,260108.OF,2010-03-30,600439.SH,瑞贝卡,40975764.32,3508199.0,0.011568,0.97,2009-12-31,股票,0.0
266,260108.OF,2010-03-30,600409.SH,三友化工,35111139.16,4073218.0,0.009913,0.83,2009-12-31,股票,0.0
267,260108.OF,2010-03-30,600395.SH,盘江股份,58880000.0,2000000.0,0.016623,1.39,2009-12-31,股票,0.0
268,260108.OF,2010-03-30,600285.SH,羚锐制药,43542724.08,3592634.0,0.012293,1.03,2009-12-31,股票,0.0
269,260108.OF,2010-03-30,600276.SH,恒瑞医药,131250000.0,2500000.0,0.037055,3.1,2009-12-31,股票,0.0
270,260108.OF,2010-03-30,600271.SH,航天信息,81318216.72,4009774.0,0.022958,1.92,2009-12-31,股票,0.0
271,260108.OF,2010-03-30,600031.SH,三一重工,85112082.0,2312200.0,0.024029,2.01,2009-12-31,股票,0.0
272,260108.OF,2010-03-30,300003.SZ,乐普医疗,3615488.0,70615.0,0.001021,0.09,2009-12-31,股票,0.0
273,260108.OF,2010-03-30,002310.SZ,东方园林,1542784.32,13914.0,0.000436,0.04,2009-12-31,股票,0.0
274,260108.OF,2010-03-30,002191.SZ,劲嘉股份,31766729.28,2199912.0,0.008968,0.75,2009-12-31,股票,0.0
275,260108.OF,2010-03-30,002068.SZ,黑猫股份,27512054.75,1532705.0,0.007767,0.65,2009-12-31,股票,0.0
276,260108.OF,2010-03-30,002038.SZ,双鹭药业,85233658.8,1919677.0,0.024063,2.01,2009-12-31,股票,0.0
277,260108.OF,2010-03-30,000425.SZ,徐工机械,33696621.52,959471.0,0.009513,0.8,2009-12-31,股票,0.0
278,260108.OF,2010-03-30,000069.SZ,华侨城A,137360000.0,8000000.0,0.03878,3.24,2009-12-31,股票,0.0
279,260108.OF,2010-03-30,000024.SZ,招商地产,70698655.5,2654850.0,0.01996,1.67,2009-12-31,股票,0.0
280,260108.OF,2010-03-30,601668.SH,中国建筑,94692101.92,20061886.0,0.026734,2.24,2009-12-31,股票,0.0
281,260108.OF,2010-03-30,601169.SH,北京银行,58149732.72,3006708.0,0.016417,1.37,2009-12-31,股票,0.0
282,260108.OF,2010-03-30,601088.SH,中国神华,69640000.0,2000000.0,0.019661,1.64,2009-12-31,股票,0.0
283,260108.OF,2010-03-30,600859.SH,王府井,29398046.79,796911.0,0.0083,0.69,2009-12-31,股票,0.0
284,260108.OF,2010-03-30,600479.SH,千金药业,10516101.12,391224.0,0.002969,0.25,2009-12-31,股票,0.0
285,260108.OF,2010-03-30,300015.SZ,爱尔眼科,1882118.4,38568.0,0.000531,0.04,2009-12-31,股票,0.0
286,260108.OF,2010-03-30,002267.SZ,陕天然气,95965062.0,4328600.0,0.027093,2.27,2009-12-31,股票,0.0
287,260108.OF,2010-03-30,002217.SZ,合力泰,38515068.75,2509125.0,0.010874,0.91,2009-12-31,股票,0.0
288,260108.OF,2010-03-30,002202.SZ,金风科技,37788725.88,1318518.0,0.010669,0.89,2009-12-31,股票,0.0
289,260108.OF,2010-03-30,002081.SZ,金螳螂,10240785.3,331417.0,0.002891,0.24,2009-12-31,股票,0.0
290,260108.OF,2010-03-30,002045.SZ,国光电器,50019351.64,3542447.0,0.014122,1.18,2009-12-31,股票,0.0
291,260108.OF,2010-03-30,000983.SZ,山西焦煤,108102418.57,2710013.0,0.03052,2.55,2009-12-31,股票,0.0
292,260108.OF,2010-03-30,000895.SZ,双汇发展,36103008.6,679906.0,0.010193,0.85,2009-12-31,股票,0.0
293,260108.OF,2010-03-30,000683.SZ,远兴能源,60235000.0,3500000.0,0.017006,1.42,2009-12-31,股票,0.0
294,260108.OF,2010-03-30,000400.SZ,许继电气,9702540.0,425550.0,0.002739,0.23,2009-12-31,股票,0.0
295,260108.OF,2010-03-30,000157.SZ,中联重科,78046724.43,3000643.0,0.022034,1.84,2009-12-31,股票,0.0
296,260108.OF,2010-03-30,000100.SZ,TCL科技,35909887.14,6999978.0,0.010138,0.85,2009-12-31,股票,0.0
297,260108.OF,2010-08-26,600887.SH,伊利股份,58759412.4,1999980.0,0.023078,1.84,2010-06-30,股票,0.0
298,260108.OF,2010-08-26,600551.SH,时代出版,33043676.64,2009956.0,0.012978,1.03,2010-06-30,股票,0.0
299,260108.OF,2010-08-26,600519.SH,贵州茅台,127360000.0,1000000.0,0.050022,3.98,2010-06-30,股票,0.0
300,260108.OF,2010-08-26,600502.SH,安徽建工,16420000.0,2000000.0,0.006449,0.51,2010-06-30,股票,0.0
301,260108.OF,2010-08-26,600500.SH,中化国际,53519669.96,5999963.0,0.02102,1.67,2010-06-30,股票,0.0
302,260108.OF,2010-08-26,600489.SH,中金黄金,30546661.32,591302.0,0.011998,0.96,2010-06-30,股票,0.0
303,260108.OF,2010-08-26,600375.SH,汉马科技,71350000.0,5000000.0,0.028023,2.23,2010-06-30,股票,0.0
304,260108.OF,2010-08-26,600285.SH,羚锐制药,33004000.0,3700000.0,0.012963,1.03,2010-06-30,股票,0.0
305,260108.OF,2010-08-26,600276.SH,恒瑞医药,117210000.0,3000000.0,0.046035,3.67,2010-06-30,股票,0.0
306,260108.OF,2010-08-26,600227.SH,圣济堂,49714000.0,10600000.0,0.019526,1.55,2010-06-30,股票,0.0
307,260108.OF,2010-08-26,600123.SH,兰花科创,20456000.0,800000.0,0.008034,0.64,2010-06-30,股票,0.0
308,260108.OF,2010-08-26,600118.SH,中国卫星,46950000.0,3000000.0,0.01844,1.47,2010-06-30,股票,0.0
309,260108.OF,2010-08-26,600060.SH,海信视像,91396406.2,7584764.0,0.035897,2.86,2010-06-30,股票,0.0
310,260108.OF,2010-08-26,002345.SZ,潮宏基,11865000.0,350000.0,0.00466,0.37,2010-06-30,股票,0.0
311,260108.OF,2010-08-26,002214.SZ,大立科技,8487000.0,300000.0,0.003333,0.27,2010-06-30,股票,0.0
312,260108.OF,2010-08-26,002115.SZ,三维通信,17358412.8,1399872.0,0.006818,0.54,2010-06-30,股票,0.0
313,260108.OF,2010-08-26,002038.SZ,双鹭药业,112440000.0,3000000.0,0.044162,3.52,2010-06-30,股票,0.0
314,260108.OF,2010-08-26,000683.SZ,远兴能源,30528891.72,4988381.0,0.011991,0.95,2010-06-30,股票,0.0
315,260108.OF,2010-08-26,601601.SH,中国太保,64326661.74,2825062.0,0.025265,2.01,2010-06-30,股票,0.0
316,260108.OF,2010-08-26,600739.SH,辽宁成大,36484792.76,1450111.0,0.01433,1.14,2010-06-30,股票,0.0
317,260108.OF,2010-08-26,600690.SH,海尔智家,76523500.6,4006466.0,0.030055,2.39,2010-06-30,股票,0.0
318,260108.OF,2010-08-26,600528.SH,中铁工业,48600000.0,6000000.0,0.019088,1.52,2010-06-30,股票,0.0
319,260108.OF,2010-08-26,600395.SH,盘江股份,36000000.0,2000000.0,0.014139,1.13,2010-06-30,股票,0.0
320,260108.OF,2010-08-26,600271.SH,航天信息,59665437.12,4009774.0,0.023434,1.87,2010-06-30,股票,0.0
321,260108.OF,2010-08-26,002191.SZ,劲嘉股份,17385000.0,1781250.0,0.006828,0.54,2010-06-30,股票,0.0
322,260108.OF,2010-08-26,002081.SZ,金螳螂,70425000.0,2250000.0,0.02766,2.2,2010-06-30,股票,0.0
323,260108.OF,2010-08-26,002068.SZ,黑猫股份,18390931.91,1992517.0,0.007223,0.58,2010-06-30,股票,0.0
324,260108.OF,2010-08-26,002048.SZ,宁波华翔,2582670.0,262200.0,0.001014,0.08,2010-06-30,股票,0.0
325,260108.OF,2010-08-26,002010.SZ,传化智联,44964603.84,3602933.0,0.01766,1.41,2010-06-30,股票,0.0
326,260108.OF,2010-08-26,000983.SZ,山西焦煤,71060388.72,3913017.0,0.02791,2.22,2010-06-30,股票,0.0
327,260108.OF,2010-08-26,000951.SZ,中国重汽,11970000.0,700000.0,0.004701,0.37,2010-06-30,股票,0.0
328,260108.OF,2010-08-26,000888.SZ,峨眉山A,55890378.12,3283806.0,0.021951,1.75,2010-06-30,股票,0.0
329,260108.OF,2010-08-26,000837.SZ,*ST秦机,63425418.99,6531969.0,0.024911,1.98,2010-06-30,股票,0.0
330,260108.OF,2010-08-26,000623.SZ,吉林敖东,40767501.76,1534921.0,0.016012,1.28,2010-06-30,股票,0.0
331,260108.OF,2010-08-26,000157.SZ,中联重科,32500000.0,2000000.0,0.012765,1.02,2010-06-30,股票,0.0
332,260108.OF,2010-08-26,000100.SZ,TCL科技,26249917.5,6999978.0,0.01031,0.82,2010-06-30,股票,0.0
333,260108.OF,2010-08-26,000069.SZ,华侨城A,40700000.0,3700000.0,0.015985,1.27,2010-06-30,股票,0.0
334,260108.OF,2010-08-26,000063.SZ,中兴通讯,50815033.36,2641114.0,0.019958,1.59,2010-06-30,股票,0.0
335,260108.OF,2010-08-26,601989.SH,中国重工,43749987.5,6999998.0,0.017183,1.37,2010-06-30,股票,0.0
336,260108.OF,2010-08-26,600859.SH,王府井,34064974.0,1001911.0,0.013379,1.07,2010-06-30,股票,0.0
337,260108.OF,2010-08-26,600694.SH,大商股份,77427300.0,1830000.0,0.03041,2.42,2010-06-30,股票,0.0
338,260108.OF,2010-08-26,600596.SH,新安股份,17486612.0,1769900.0,0.006868,0.55,2010-06-30,股票,0.0
339,260108.OF,2010-08-26,600547.SH,山东黄金,25254320.0,693800.0,0.009919,0.79,2010-06-30,股票,0.0
340,260108.OF,2010-08-26,600439.SH,瑞贝卡,36415107.35,4209839.0,0.014302,1.14,2010-06-30,股票,0.0
341,260108.OF,2010-08-26,600386.SH,北巴传媒,13875164.0,1508170.0,0.00545,0.43,2010-06-30,股票,0.0
342,260108.OF,2010-08-26,600373.SH,中文传媒,24192275.84,1643497.0,0.009502,0.76,2010-06-30,股票,0.0
343,260108.OF,2010-08-26,600329.SH,中新药业,20359091.8,807580.0,0.007996,0.64,2010-06-30,股票,0.0
344,260108.OF,2010-08-26,600178.SH,东安动力,7523388.51,802923.0,0.002955,0.24,2010-06-30,股票,0.0
345,260108.OF,2010-08-26,600068.SH,葛洲坝,36505000.0,3500000.0,0.014338,1.14,2010-06-30,股票,0.0
346,260108.OF,2010-08-26,600050.SH,中国联通,32507638.02,6098994.0,0.012768,1.02,2010-06-30,股票,0.0
347,260108.OF,2010-08-26,600031.SH,三一重工,54810000.0,3000000.0,0.021527,1.71,2010-06-30,股票,0.0
348,260108.OF,2010-08-26,113001.SH,中行转债,47826071.8,472870.0,1.0,1.5,2010-06-30,债券,0.0
349,260108.OF,2010-08-26,002405.SZ,四维图新,16590.0,500.0,7e-06,0.0,2010-06-30,股票,0.0
350,260108.OF,2010-08-26,002045.SZ,国光电器,59371411.72,3542447.0,0.023319,1.86,2010-06-30,股票,0.0
351,260108.OF,2010-08-26,000917.SZ,电广传媒,62237043.6,3999810.0,0.024444,1.95,2010-06-30,股票,0.0
352,260108.OF,2010-08-26,000895.SZ,双汇发展,37456286.42,860273.0,0.014711,1.17,2010-06-30,股票,0.0
353,260108.OF,2010-08-26,000425.SZ,徐工机械,81333584.91,2655357.0,0.031945,2.54,2010-06-30,股票,0.0
354,260108.OF,2010-08-26,000417.SZ,合肥百货,30761294.4,2136201.0,0.012082,0.96,2010-06-30,股票,0.0
355,260108.OF,2010-08-26,000028.SZ,国药一致,51601836.0,1804260.0,0.020267,1.61,2010-06-30,股票,0.0
356,260108.OF,2011-03-28,601818.SH,光大银行,105990192.0,26765200.0,0.030888,2.9,2010-12-31,股票,0.0
357,260108.OF,2011-03-28,601699.SH,潞安环能,131946402.84,2212381.0,0.038452,3.61,2010-12-31,股票,0.0
358,260108.OF,2011-03-28,601166.SH,兴业银行,83473533.65,3470833.0,0.024326,2.28,2010-12-31,股票,0.0
359,260108.OF,2011-03-28,600546.SH,山煤国际,66390480.0,1918800.0,0.019348,1.81,2010-12-31,股票,0.0
360,260108.OF,2011-03-28,600537.SH,亿晶光电,58506419.44,1456108.0,0.01705,1.6,2010-12-31,股票,0.0
361,260108.OF,2011-03-28,600528.SH,中铁工业,54480000.0,6000000.0,0.015877,1.49,2010-12-31,股票,0.0
362,260108.OF,2011-03-28,600468.SH,百利电气,10387729.24,288869.0,0.003027,0.28,2010-12-31,股票,0.0
363,260108.OF,2011-03-28,600376.SH,首开股份,92442470.0,5486200.0,0.02694,2.53,2010-12-31,股票,0.0
364,260108.OF,2011-03-28,600361.SH,华联综超,20116977.21,1917729.0,0.005862,0.55,2010-12-31,股票,0.0
365,260108.OF,2011-03-28,600118.SH,中国卫星,17301078.84,697062.0,0.005042,0.47,2010-12-31,股票,0.0
366,260108.OF,2011-03-28,600048.SH,保利地产,90013434.4,7087672.0,0.026232,2.46,2010-12-31,股票,0.0
367,260108.OF,2011-03-28,600036.SH,招商银行,73524442.53,5739613.0,0.021427,2.01,2010-12-31,股票,0.0
368,260108.OF,2011-03-28,002086.SZ,*ST东洋,53046904.95,2875171.0,0.015459,1.45,2010-12-31,股票,0.0
369,260108.OF,2011-03-28,000983.SZ,山西焦煤,104438423.73,3913017.0,0.030435,2.85,2010-12-31,股票,0.0
370,260108.OF,2011-03-28,000982.SZ,*ST中绒,36168021.45,2435557.0,0.01054,0.99,2010-12-31,股票,0.0
371,260108.OF,2011-03-28,000937.SZ,冀中能源,126387947.7,3155754.0,0.036832,3.45,2010-12-31,股票,0.0
372,260108.OF,2011-03-28,000933.SZ,神火股份,122224135.35,4879207.0,0.035619,3.34,2010-12-31,股票,0.0
373,260108.OF,2011-03-28,000888.SZ,峨眉山A,1767297.0,102452.0,0.000515,0.05,2010-12-31,股票,0.0
374,260108.OF,2011-03-28,000776.SZ,广发证券,118093978.52,2222318.0,0.034415,3.23,2010-12-31,股票,0.0
375,260108.OF,2011-03-28,000630.SZ,铜陵有色,153312205.0,4374100.0,0.044678,4.19,2010-12-31,股票,0.0
376,260108.OF,2011-03-28,000559.SZ,万向钱潮,13850000.0,1000000.0,0.004036,0.38,2010-12-31,股票,0.0
377,260108.OF,2011-03-28,601601.SH,中国太保,35481260.0,1549400.0,0.01034,0.97,2010-12-31,股票,0.0
378,260108.OF,2011-03-28,600837.SH,海通证券,34600909.84,3589306.0,0.010083,0.95,2010-12-31,股票,0.0
379,260108.OF,2011-03-28,600739.SH,辽宁成大,114868824.72,3813706.0,0.033475,3.14,2010-12-31,股票,0.0
380,260108.OF,2011-03-28,600426.SH,华鲁恒升,39225697.08,2836276.0,0.011431,1.07,2010-12-31,股票,0.0
381,260108.OF,2011-03-28,600375.SH,汉马科技,68294489.04,2769444.0,0.019902,1.87,2010-12-31,股票,0.0
382,260108.OF,2011-03-28,300124.SZ,汇川技术,139092475.6,994370.0,0.040534,3.8,2010-12-31,股票,0.0
383,260108.OF,2011-03-28,126630.SZ,铜陵转债,4639681.0,23020.0,0.815105,0.13,2010-12-31,债券,0.0
384,260108.OF,2011-03-28,002045.SZ,国光电器,63480650.24,3542447.0,0.0185,1.74,2010-12-31,股票,0.0
385,260108.OF,2011-03-28,000936.SZ,华西股份,51407844.4,5895395.0,0.014981,1.41,2010-12-31,股票,0.0
386,260108.OF,2011-03-28,000527.SZ,美的电器,49609140.0,2851100.0,0.014457,1.36,2010-12-31,股票,0.0
387,260108.OF,2011-03-28,000417.SZ,合肥百货,22042299.4,1136201.0,0.006424,0.6,2010-12-31,股票,0.0
388,260108.OF,2011-03-28,000060.SZ,中金岭南,74264895.0,3300662.0,0.021642,2.03,2010-12-31,股票,0.0
389,260108.OF,2011-03-28,000024.SZ,招商地产,60804590.0,3812200.0,0.01772,1.66,2010-12-31,股票,0.0
390,260108.OF,2011-03-28,601607.SH,上海医药,63774940.32,2920098.0,0.018585,1.74,2010-12-31,股票,0.0
391,260108.OF,2011-03-28,601318.SH,中国平安,179031453.12,3187882.0,0.052173,4.89,2010-12-31,股票,0.0
392,260108.OF,2011-03-28,601169.SH,北京银行,81339509.68,7110097.0,0.023704,2.22,2010-12-31,股票,0.0
393,260108.OF,2011-03-28,601168.SH,西部矿业,36197913.72,1921333.0,0.010549,0.99,2010-12-31,股票,0.0
394,260108.OF,2011-03-28,601001.SH,晋控煤业,70959174.0,3377400.0,0.020679,1.94,2010-12-31,股票,0.0
395,260108.OF,2011-03-28,600595.SH,*ST中孚,71595186.6,5188057.0,0.020864,1.96,2010-12-31,股票,0.0
396,260108.OF,2011-03-28,600266.SH,城建发展,50545224.18,4139658.0,0.01473,1.38,2010-12-31,股票,0.0
397,260108.OF,2011-03-28,600123.SH,兰花科创,38941892.44,827143.0,0.011348,1.06,2010-12-31,股票,0.0
398,260108.OF,2011-03-28,128233.SZ,塔牌转债,1052444.4,6980.0,0.184895,0.03,2010-12-31,债券,0.0
399,260108.OF,2011-03-28,002081.SZ,金螳螂,21941714.14,319013.0,0.006394,0.6,2010-12-31,股票,0.0
400,260108.OF,2011-03-28,002056.SZ,横店东磁,16660138.04,424354.0,0.004855,0.46,2010-12-31,股票,0.0
401,260108.OF,2011-03-28,000895.SZ,双汇发展,74843751.0,860273.0,0.021811,2.05,2010-12-31,股票,0.0
402,260108.OF,2011-03-28,000878.SZ,云南铜业,94359650.0,3431260.0,0.027498,2.58,2010-12-31,股票,0.0
403,260108.OF,2011-03-28,000759.SZ,中百集团,20424915.16,1631383.0,0.005952,0.56,2010-12-31,股票,0.0
404,260108.OF,2011-03-28,000639.SZ,西王食品,35961259.08,1081867.0,0.01048,0.98,2010-12-31,股票,0.0
405,260108.OF,2011-03-28,000528.SZ,柳工,63251389.0,1709497.0,0.018433,1.73,2010-12-31,股票,0.0
406,260108.OF,2011-03-28,000425.SZ,徐工机械,193019169.2,3374461.0,0.05625,5.28,2010-12-31,股票,0.0
407,260108.OF,2011-03-28,000061.SZ,农产品,31587426.81,1793721.0,0.009205,0.86,2010-12-31,股票,0.0
408,260108.OF,2011-08-24,600595.SH,*ST中孚,67714518.96,6744474.0,0.023978,2.14,2011-06-30,股票,0.0
409,260108.OF,2011-08-24,600426.SH,华鲁恒升,5779867.6,342004.0,0.002047,0.18,2011-06-30,股票,0.0
410,260108.OF,2011-08-24,600375.SH,汉马科技,52179351.72,2469444.0,0.018477,1.65,2011-06-30,股票,0.0
411,260108.OF,2011-08-24,600362.SH,江西铜业,69641974.48,1965067.0,0.024661,2.2,2011-06-30,股票,0.0
412,260108.OF,2011-08-24,600123.SH,兰花科创,34558034.54,827143.0,0.012237,1.09,2011-06-30,股票,0.0
413,260108.OF,2011-08-24,600118.SH,中国卫星,1054659.42,47062.0,0.000373,0.03,2011-06-30,股票,0.0
414,260108.OF,2011-08-24,600036.SH,招商银行,74729761.26,5739613.0,0.026462,2.37,2011-06-30,股票,0.0
415,260108.OF,2011-08-24,300124.SZ,汇川技术,137024186.0,1988740.0,0.048521,4.34,2011-06-30,股票,0.0
416,260108.OF,2011-08-24,002086.SZ,*ST东洋,14149731.21,975171.0,0.005011,0.45,2011-06-30,股票,0.0
417,260108.OF,2011-08-24,002074.SZ,国轩高科,33620029.92,3214152.0,0.011905,1.06,2011-06-30,股票,0.0
418,260108.OF,2011-08-24,000888.SZ,峨眉山A,22794626.4,1252452.0,0.008072,0.72,2011-06-30,股票,0.0
419,260108.OF,2011-08-24,000878.SZ,云南铜业,103905808.72,4742392.0,0.036794,3.29,2011-06-30,股票,0.0
420,260108.OF,2011-08-24,000776.SZ,广发证券,87225981.5,2222318.0,0.030887,2.76,2011-06-30,股票,0.0
421,260108.OF,2011-08-24,000759.SZ,中百集团,4407480.0,357750.0,0.001561,0.14,2011-06-30,股票,0.0
422,260108.OF,2011-08-24,000639.SZ,西王食品,33600477.05,1078667.0,0.011898,1.06,2011-06-30,股票,0.0
423,260108.OF,2011-08-24,000623.SZ,吉林敖东,46208283.42,1499782.0,0.016363,1.46,2011-06-30,股票,0.0
424,260108.OF,2011-08-24,000060.SZ,中金岭南,57068451.3,4290861.0,0.020208,1.81,2011-06-30,股票,0.0
425,260108.OF,2011-08-24,601766.SH,中国中车,83133041.68,11675989.0,0.029438,2.63,2011-06-30,股票,0.0
426,260108.OF,2011-08-24,601318.SH,中国平安,153879064.14,3187882.0,0.05449,4.87,2011-06-30,股票,0.0
427,260108.OF,2011-08-24,600997.SH,开滦股份,44293788.0,2775300.0,0.015685,1.4,2011-06-30,股票,0.0
428,260108.OF,2011-08-24,600537.SH,亿晶光电,53322674.96,1456108.0,0.018882,1.69,2011-06-30,股票,0.0
429,260108.OF,2011-08-24,600395.SH,盘江股份,19250200.0,580000.0,0.006817,0.61,2011-06-30,股票,0.0
430,260108.OF,2011-08-24,600266.SH,城建发展,1377722.15,91543.0,0.000488,0.04,2011-06-30,股票,0.0
431,260108.OF,2011-08-24,300157.SZ,恒泰艾普,93187968.0,2912124.0,0.032999,2.95,2011-06-30,股票,0.0
432,260108.OF,2011-08-24,002081.SZ,金螳螂,7176463.8,178519.0,0.002541,0.23,2011-06-30,股票,0.0
433,260108.OF,2011-08-24,000937.SZ,冀中能源,159996727.8,6311508.0,0.056656,5.06,2011-06-30,股票,0.0
434,260108.OF,2011-08-24,000933.SZ,神火股份,118740378.51,7806731.0,0.042047,3.76,2011-06-30,股票,0.0
435,260108.OF,2011-08-24,000876.SZ,新希望,92966640.9,4659982.0,0.03292,2.94,2011-06-30,股票,0.0
436,260108.OF,2011-08-24,000630.SZ,铜陵有色,127081710.0,5273100.0,0.045001,4.02,2011-06-30,股票,0.0
437,260108.OF,2011-08-24,000527.SZ,美的电器,52431729.0,2851100.0,0.018566,1.66,2011-06-30,股票,0.0
438,260108.OF,2011-08-24,000417.SZ,合肥百货,20678858.2,1136201.0,0.007323,0.65,2011-06-30,股票,0.0
439,260108.OF,2011-08-24,601818.SH,光大银行,136459734.15,40734249.0,0.048321,4.32,2011-06-30,股票,0.0
440,260108.OF,2011-08-24,601699.SH,潞安环能,145176441.22,4424762.0,0.051408,4.6,2011-06-30,股票,0.0
