,股票代码,股票名称,当前价格,万元收益
139,600694,大商股份,19.43,828.152341739578
140,600703,三安光电,33.46,62.612074118350264
141,600705,中航资本,4.47,1000.6711409395973
142,600708,光明地产,2.45,-271.0204081632653
143,600711,盛屯矿业,7.74,205.94315245478032
144,600720,祁连山,14.16,1414.1949152542372
145,600729,重庆百货,28.63,832.7977645826057
146,600739,辽宁成大,24.13,692.2088686282636
147,600741,华域汽车,30.45,417.6683087027915
148,600742,一汽富维,9.23,1016.9014084507041
149,600748,上实发展,4.74,540.084388185654
150,600750,江中药业,10.68,610.5805243445693
151,600754,锦江酒店,47.85,79.68652037617555
152,600755,厦门国贸,6.42,1914.4859813084115
153,600756,浪潮软件,15.66,-208.10983397190296
154,600765,中航重机,20.96,168.9885496183206
155,600775,南京熊猫,7.44,77.82258064516128
156,600787,中储股份,4.75,251.15789473684214
157,600795,国电电力,2.13,1597.1830985915494
158,600808,马钢股份,2.64,913.2575757575758
159,600811,东方集团,3.42,366.37426900584796
160,600816,*ST安信,1.54,-4529.87012987013
161,600820,隧道股份,5.51,730.8529945553539
162,600823,世茂股份,4.72,1150.0
163,600826,兰生股份,7.92,188.25757575757575
164,600828,茂业商业,3.61,537.3961218836565
165,600835,上海机电,20.78,681.7613089509143
166,600837,海通证券,12.82,552.4960998439938
167,600846,同济科技,7.83,1371.902937420179
168,601607,上海医药,18.95,809.1292875989446
169,600850,华东电脑,26.53,214.0218620429702
170,600859,王府井,32.18,74.42510876320696
171,600863,内蒙华电,2.48,764.1129032258065
172,600867,通化东宝,12.2,303.5245901639345
173,600872,中炬高新,67.84,134.72877358490567
174,600874,创业环保,6.27,536.2041467304625
175,600875,东方电气,11.08,413.086642599278
176,600876,洛阳玻璃,17.68,113.34841628959275
177,600886,国投电力,8.85,1511.6384180790963
178,600887,伊利股份,46.74,212.55883611467692
179,600893,航发动力,66.01,37.47916982275412
180,600171,上海贝岭,15.04,138.56382978723406
181,600176,中国巨石,21.92,164.23357664233575
182,600180,瑞茂通,5.31,280.60263653484
183,600183,生益科技,28.65,214.2757417102967
184,600185,格力地产,7.1,408.02816901408454
185,600188,兖州煤业,10.02,1526.1477045908184
186,600196,复星医药,49.88,215.11627906976742
187,600197,伊力特,24.17,191.51841125362014
188,600201,生物股份,19.71,139.87823439878235
189,600208,新湖中宝,3.08,1095.4545454545453
190,600210,紫江企业,4.28,708.411214953271
191,600216,浙江医药,13.48,454.0059347181009
192,600236,桂冠电力,4.43,552.821670428894
193,600239,云南城投,2.52,-3235.3174603174607
194,600261,阳光照明,3.63,841.0468319559229
195,600276,恒瑞医药,108.44,73.72740686093692
196,600277,亿利洁能,2.74,363.8686131386861
197,600285,羚锐制药,8.1,583.3333333333334
198,600298,安琪酵母,56.65,226.33715798764342
199,600305,恒顺醋业,24.94,94.22614274258218
200,600309,万华化学,107.25,166.91841491841492
201,600312,平高电气,7.05,125.2482269503546
202,600323,瀚蓝环境,25.02,401.7186250999201
203,600329,中新药业,17.49,364.60834762721566
204,600332,白云山,29.53,590.2133423636978
205,600335,国机汽车,4.65,214.19354838709677
206,600350,山东高速,5.82,548.9690721649484
207,600362,江西铜业,21.7,228.80184331797236
208,600363,联创光电,25.69,214.20786298170492
209,600366,宁波韵升,5.84,241.0958904109589
210,600372,中航电子,20.22,110.83086053412462
211,600377,宁沪高速,9.38,409.4882729211087
212,600380,健康元,13.72,814.5043731778425
213,600383,金地集团,12.4,1612.016129032258
214,600388,龙净环保,8.69,624.0506329113924
215,600395,盘江股份,7.6,502.2368421052632
216,601021,春秋航空,54.14,-30.495012929442183
217,603600,永艺股份,13.01,535.7417371252882
218,600958,东方证券,10.97,397.4475843208751
219,600273,嘉化能源,8.56,695.7943925233645
220,603609,禾丰牧业,11.95,942.0083682008368
221,600661,昂立教育,14.8,-259.9324324324324
222,603019,中科曙光,35.38,71.73544375353308
223,601788,光大证券,17.84,415.52690582959644
224,600917,重庆燃气,6.44,294.0993788819876
225,603686,龙马环卫,16.79,583.02561048243
226,600123,兰花科创,5.13,255.75048732943472
227,603899,晨光文具,94.91,101.5804446317564
228,600206,有研新材,12.99,139.7228637413395
229,601016,节能风电,3.52,328.4090909090909
230,603368,柳药股份,21.12,848.7215909090909
231,600897,厦门空港,16.5,222.1212121212121
232,601992,金隅集团,2.97,1395.2861952861954
233,601800,中国交建,7.41,985.1551956815115
234,601000,唐山港,2.44,1015.5737704918033
235,600018,上港集团,4.83,602.6915113871636
236,600295,鄂尔多斯,11.18,772.8980322003578
237,600027,华电国际,3.33,1469.3693693693695
238,600420,现代制药,9.08,849.4493392070484
239,601727,上海电气,5.44,414.8897058823529
240,601991,大唐发电,2.4,995.4166666666666
241,601688,华泰证券,18.87,522.0455749867514
242,601328,交通银行,4.54,1585.9030837004404
243,601939,建设银行,6.66,1246.8468468468468
244,601398,工商银行,5.14,1256.420233463035
245,601288,农业银行,3.19,1486.2068965517242
246,601988,中国银行,3.23,1640.5572755417957
247,601901,方正证券,8.88,204.95495495495496
248,601390,中国中铁,5.77,1368.4575389948006
249,601318,中国平安,86.71,724.8298927459349
250,601166,兴业银行,22.71,1113.9586085424921
251,601857,中国石油,4.29,263.4032634032634
252,601336,新华保险,55.97,636.1443630516349
253,601377,兴业证券,8.75,603.5428571428572
254,601818,光大银行,4.08,1387.0098039215686
255,600999,招商证券,24.48,342.03431372549016
256,601555,东吴证券,9.23,419.06825568797393
257,600048,保利地产,15.59,982.3604874919821
258,601002,晋亿实业,5.25,216.7619047619048
259,601098,中南传媒,9.29,636.8137782561896
260,601877,正泰电器,37.68,395.09023354564755
261,601717,郑煤机,12.17,624.8151191454396
262,601233,桐昆股份,22.58,433.0823737821081
263,601012,隆基股份,101.54,170.45499310616503
264,603077,和邦生物,1.34,-193.28358208955223
265,601567,三星医疗,6.32,837.8164556962024
266,601789,宁波建工,3.9,483.3333333333333
267,601222,林洋能源,8.3,645.9036144578313
268,603993,洛阳钼业,6.28,125.95541401273886
269,601799,星宇股份,184.04,139.10562921104108
270,601933,永辉超市,7.35,289.7959183673469
271,601311,骆驼股份,9.92,402.4193548387097
272,601668,中国建筑,5.03,2228.2306163021867
273,601139,深圳燃气,6.78,585.5457227138643
274,601898,中煤能源,4.71,1045.222929936306
275,601088,中国神华,18.72,1077.6709401709402
276,601231,环旭电子,19.21,237.3243102550755
277,601633,长城汽车,40.35,69.88847583643123
278,601766,中国中车,7.03,411.80654338549067
279,601216,君正集团,4.37,567.0480549199084
280,601618,中国中冶,3.25,875.3846153846154
281,601989,中国重工,4.36,-11.467889908256879
282,601111,中国国航,7.05,-1119.2907801418442
283,601600,中国铝业,3.54,157.62711864406782
284,601998,中信银行,5.23,1459.8470363288718
285,601009,南京银行,8.27,1229.3833131801694
286,601169,北京银行,4.91,1608.961303462322
287,601186,中国铁建,8.2,1561.4634146341464
288,601058,赛轮轮胎,8.89,494.4881889763779
289,603288,海天味业,202.89,69.61900537236927
290,601899,紫金矿业,10.41,219.40441882804993
291,601678,滨化股份,5.05,312.4752475247525
292,603369,今世缘,56.6,184.982332155477
293,601601,中国太保,41.14,509.74720466699085
294,603328,依顿电子,7.67,257.23598435462844
295,603128,华贸物流,10.85,304.2396313364056
296,601636,旗滨集团,12.19,371.04183757178015
297,601669,中国电建,4.04,1428.9603960396041
298,603766,隆鑫通用,3.3,679.090909090909
299,600483,福能股份,7.63,589.2529488859765
300,601888,中国中免,279.67,58.14352629885222
301,603025,大豪科技,21.78,59.41230486685031
302,603885,吉祥航空,9.63,-258.8785046728972
303,603669,灵康药业,7.75,275.61290322580646
304,603338,浙江鼎力,103.05,123.98835516739449
305,600326,西藏天路,6.97,890.2439024390245
306,601689,拓普集团,42.8,86.14485981308412
307,600337,美克家居,5.32,20.112781954887215
308,600885,宏发股份,51.88,210.83269082498072
309,603599,广信股份,23.82,393.4089000839631
310,603568,伟明环保,18.69,386.0353130016051
311,601198,东兴证券,12.25,376.7346938775511
312,601985,中国核电,5.19,1078.4200385356453
313,603355,莱克电气,30.46,331.4182534471438
314,603883,老百姓,79.93,183.3979732265732
315,601211,国泰君安,17.4,610.9770114942529
316,603589,口子窖,67.76,212.39669421487602
317,600699,均胜电子,27.59,-151.28669807901414
318,603898,好莱客,14.71,375.66281441196463
319,603118,共进股份,10.15,377.73399014778323
320,600167,联美控股,11.02,474.3194192377496
321,600233,圆通速递,11.91,384.29890848026866
322,600909,华安证券,7.31,383.99452804377563
323,600919,江苏银行,5.53,1950.8137432188064
324,600926,杭州银行,15.36,612.3046875
