date,open,high,low,close,volume
2015-03-02,5.7177,6.8660000000000005,5.7177,6.8660000000000005,448.0
2015-03-03,7.5538,7.5538,7.5538,7.5538,120.0
2015-03-04,8.3074,8.3074,8.3074,8.3074,236.0
2015-03-05,9.1388,9.1388,9.1388,9.1388,620.0
2015-03-06,10.0538,10.0538,10.0538,10.0538,2260.0
2015-03-09,11.0586,11.0586,11.0586,11.0586,10612.0
2015-03-10,10.6938,10.6938,9.9581,10.1615,311692.5
2015-03-11,9.8385,10.0359,9.7189,9.8086,136650.03
2015-03-12,9.7488,9.8923,9.4498,9.5096,116582.87
2015-03-13,9.5694,9.6591,9.5096,9.5754,54561.86
2015-03-16,9.677,9.9462,9.6053,9.8325,83134.06
2015-03-17,9.8325,9.8684,9.7189,9.8505,92001.17
2015-03-18,9.8684,10.1615,9.7907,10.1316,122700.25
2015-03-19,10.1555,10.7656,10.1555,10.64,175297.63
2015-03-20,10.6459,10.6758,10.3888,10.4486,101407.78
2015-03-23,10.4785,10.5861,10.4067,10.4844,86269.33
2015-03-24,10.4964,10.5084,10.0299,10.2452,85518.29
2015-03-25,10.2273,10.4127,10.0598,10.3349,71869.01
2015-03-26,10.2751,10.3648,10.1256,10.2392,57904.02
2015-03-27,10.2452,10.305,10.1495,10.2751,47132.74
2015-03-30,10.299000000000001,10.3469,10.2273,10.2811,49451.94
2015-03-31,10.2871,10.3409,10.2033,10.2213,47397.36
2015-04-01,10.2273,10.3768,10.2273,10.3708,61527.97
2015-04-02,10.4665,10.5443,10.3768,10.4904,75913.12
2015-04-03,10.4426,11.3457,10.3828,11.2022,174886.19
2015-04-07,11.1962,11.3457,10.9211,11.25,125686.97
2015-04-08,11.2261,11.2261,10.7057,10.8852,97749.38
2015-04-09,10.8254,10.945,10.3768,10.7715,80556.11
2015-04-10,10.7356,11.567,10.6459,11.4773,146696.01
2015-04-13,11.5072,12.4821,11.25,12.200999999999999,153734.59
2015-04-14,11.9617,12.1053,11.6627,11.8541,86759.55
2015-04-15,11.866,11.866,10.933,10.9809,69900.54
2015-04-16,10.9809,11.4833,10.8134,11.4773,58014.7
2015-04-17,11.5431,11.5431,11.244000000000002,11.3636,82846.52
2015-04-20,11.244000000000002,11.244000000000002,10.945,10.950999999999999,73965.56
2015-04-21,10.945,11.2799,10.945,11.25,44978.6
2015-04-22,11.2919,11.561,11.2919,11.4892,63015.51
2015-04-23,11.4892,11.5311,11.2679,11.3397,59250.38
2015-04-24,11.1603,11.3337,11.0766,11.2799,42750.0
2015-04-27,11.3696,11.561,11.2799,11.4773,71971.67
2015-04-28,11.4773,11.5072,11.1244,11.1842,52112.49
2015-04-29,11.0467,11.3337,11.0407,11.2978,34079.21
2015-04-30,11.3038,11.7524,11.3038,11.4414,90540.35
2015-05-04,11.4593,11.5789,11.0227,11.3935,46202.88
2015-05-05,11.4115,11.4653,10.8732,10.9151,45717.75
2015-05-06,10.945,11.0407,10.4665,10.5502,49818.59
2015-05-07,10.4665,10.5263,10.2572,10.2632,34791.81
2015-05-08,10.4366,10.7416,10.3828,10.7117,37738.44
2015-05-11,10.9031,11.244000000000002,10.7715,11.2321,52237.59
2015-05-12,11.2978,11.555,11.2022,11.5311,91023.3
2015-05-13,11.5431,12.0634,11.4115,11.8959,111803.37
2015-05-14,11.878,13.0861,11.872,13.0861,69559.73
2015-05-15,14.3541,14.3959,13.8218,14.3959,196166.48
2015-05-18,15.8373,15.8373,15.8373,15.8373,21025.4
2015-05-19,17.4222,17.4222,14.8983,16.5789,303251.71
2015-05-20,15.8493,18.2356,15.7895,18.2356,147447.58
2015-05-21,18.7859,20.0598,18.2416,20.0598,148516.16
2015-05-22,21.866,22.0634,20.0598,22.0634,254911.25
2015-05-25,22.3086,24.2703,22.1292,24.2703,103727.73
2015-05-26,26.3756,26.6986,26.3756,26.6986,24138.61
2015-05-27,29.366,29.366,26.7045,29.366,87816.62
2015-05-28,32.3026,32.3026,26.4294,26.4294,81043.0
2015-05-29,23.7859,28.8038,23.7859,26.6148,281334.89
2015-06-01,25.1196,26.3158,23.9833,24.677,212377.78
2015-06-02,23.9833,24.3182,22.7093,23.2356,183782.13
2015-06-03,23.2297,24.6651,23.0861,24.3421,144690.37
2015-06-04,23.9234,23.9234,21.9079,22.2488,116232.39
2015-06-05,22.7273,23.0203,20.933000000000003,21.866,104049.64
2015-06-08,21.89,22.177,20.7596,20.933000000000003,95611.07
2015-06-09,21.0167,22.4879,21.0167,21.8394,79259.15
2015-06-10,21.6232,23.1184,21.0228,22.8722,125070.45
2015-06-11,22.5179,24.7277,22.3378,24.1212,143322.2
2015-06-12,24.0191,24.6196,22.8182,22.8782,120331.66
2015-06-15,22.2177,22.2778,20.5904,20.5964,103667.53
2015-06-16,19.9959,20.116,18.855,19.4975,68758.15
2015-06-17,19.4735,20.8246,19.2573,20.6144,59530.09
2015-06-18,20.5784,20.8126,18.8971,18.9871,51714.78
2015-06-19,18.3146,18.6088,17.0896,17.0896,51321.42
2015-06-23,16.7473,17.9483,15.6485,17.8582,58721.92
2015-06-24,17.9903,18.5548,17.3538,18.1825,65760.42
2015-06-25,17.7141,17.9483,16.6933,16.9275,50494.31
2015-06-26,16.2129,16.2129,15.2341,15.2341,41942.26
2015-06-29,15.3783,15.9547,13.7089,13.7089,55427.73
2015-06-30,12.8502,14.9879,12.3398,14.8859,75033.71
2015-07-01,14.3514,15.6845,13.5168,13.787,83613.58
2015-07-02,13.787,14.1112,12.4779,12.7662,62489.69
2015-07-03,12.3098,13.4207,11.5172,11.8715,60546.5
2015-07-06,13.0604,13.0604,11.0728,12.1056,72691.84
2015-07-07,11.0008,11.7093,10.8927,10.8927,39457.76
2015-07-08,9.8058,9.8058,9.8058,9.8058,5816.0
2015-07-09,8.827,10.7846,8.827,10.7846,83638.9
2015-07-10,11.4091,11.8655,11.337,11.8655,47341.4
2015-07-13,12.7181,13.0544,12.49,13.0544,96581.51
2015-07-14,13.1385,14.2974,12.9103,13.7269,141478.39
2015-07-15,13.1985,13.3426,12.3518,12.3518,64870.4
2015-07-16,11.1389,12.9283,11.1329,12.1056,64699.99
2015-07-17,12.0996,13.2045,12.0996,13.0184,62418.75
2015-07-20,13.0304,13.5048,12.6821,13.0304,69174.41
2015-07-21,12.7902,14.1413,12.58,14.1052,99288.72
2015-07-22,13.9551,14.2734,13.4807,13.9071,85604.1
2015-07-23,14.0512,15.3002,13.811,15.3002,118535.26
2015-07-24,15.6605,16.6032,14.6637,14.8018,150650.65
2015-07-27,14.2914,15.2221,13.3246,13.3246,96655.49
2015-07-28,12.3038,13.6249,11.9916,12.55,86919.5
2015-07-29,12.9103,13.805,12.3218,13.805,67965.02
2015-07-30,13.6309,15.0,13.4988,13.8711,108551.51
