,股票代码,股票名称,当前价格,万元收益
120,002755,奥赛康,12.88,399.6894409937888
121,002792,通宇通讯,17.46,113.57388316151201
122,002938,鹏鼎控股,48.44,123.38976052848886
123,002939,长城证券,12.39,305.73042776432607
124,300079,数码科技,4.3,75.34883720930232
125,300130,新国都,10.46,324.85659655831734
126,300252,金信诺,8.93,63.60582306830908
127,300352,北信源,5.31,88.70056497175142
128,300401,花园生物,14.0,293.42857142857144
129,300423,昇辉科技,12.26,743.3115823817292
130,300572,安车检测,43.94,185.161583978152
131,300682,朗新科技,13.53,83.14855875831486
132,300724,捷佳伟创,138.06,100.12313486889758
133,300748,金力永磁,38.08,96.48109243697479
134,002034,旺能环境,17.25,523.4202898550725
135,002705,新宝股份,47.22,247.58576874205846
136,000597,东北制药,5.0,6.6
137,002370,亚太药业,3.72,-535.752688172043
138,002607,中公教育,33.31,64.30501350945661
139,002683,宏大爆破,38.46,125.0910036401456
140,002768,国恩股份,32.29,769.5571384329513
141,002832,比音勒芬,15.67,424.5692405871091
142,002851,麦格米特,34.4,163.51744186046514
143,002925,盈趣科技,64.73,241.2482620114321
144,002926,华西证券,11.68,495.80479452054794
145,002928,华夏航空,12.44,135.93247588424438
146,002929,润建股份,23.24,222.16006884681585
147,300149,睿智医药,13.71,120.86068563092631
148,300184,力源信息,4.76,274.5798319327732
149,300276,三丰智能,3.76,135.63829787234042
150,300326,凯利泰,13.16,207.4468085106383
151,300348,长亮科技,18.71,46.65954035275254
152,300365,恒华科技,9.65,161.24352331606215
153,300429,强力新材,13.27,123.1348907309721
154,300454,深信服,286.0,5.919580419580419
155,300456,赛微电子,24.08,38.538205980066444
156,300487,蓝晓科技,50.18,146.73176564368273
157,300504,天邑股份,16.88,225.94786729857822
158,300523,辰安科技,29.01,28.817649086521882
159,300595,欧普康视,89.69,52.32467387668636
160,300602,飞荣达,20.47,219.39423546653643
161,300630,普利制药,41.09,158.7004137259674
162,300633,开立医疗,21.15,31.442080378250594
163,300634,彩讯股份,16.38,141.0866910866911
164,300661,圣邦股份,291.0,45.123711340206185
165,300741,华宝股份,48.96,276.85866013071893
166,300747,锐科激光,92.3,72.45937161430119
167,300750,宁德时代,381.0,41.48818897637795
168,300760,迈瑞医疗,441.48,99.94790250973995
169,002798,帝欧家居,18.97,544.4913020558777
170,300233,金城医药,21.72,250.0460405156538
171,003816,中国广核,2.86,869.5804195804196
172,001914,招商积余,24.53,113.73827965756217
173,000544,中原环保,6.35,739.8425196850394
174,000592,平潭发展,2.54,48.031496062992126
175,000657,中钨高新,6.6,303.03030303030306
176,000672,上峰水泥,19.98,947.5475475475475
177,000682,东方电子,4.69,323.0277185501066
178,000708,中信特钢,26.17,329.2701566679404
179,000720,新能泰山,4.02,-198.2587064676617
180,000795,英洛华,5.16,169.3798449612403
181,000815,美利云,6.01,45.92346089850249
182,000863,三湘印象,4.83,181.98757763975158
183,000923,河钢资源,26.82,516.6666666666666
184,000931,中关村,6.98,82.6647564469914
185,000958,东方能源,4.25,939.2941176470589
186,000967,盈峰环境,8.04,368.65671641791045
187,002036,联创电子,11.49,181.3751087902524
188,002041,登海种业,20.15,6.650124069478909
189,002057,中钢天源,6.91,306.9464544138929
190,002130,沃尔核材,5.67,450.61728395061726
191,002194,武汉凡谷,15.06,155.77689243027888
192,002216,三全食品,26.47,269.62599168870423
193,002234,民和股份,15.22,168.6596583442838
